Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a1	>< 8a2	 172.6 °	 -28.3 °		4.19				1.2	2.4	0.5	6.5	 -28.3 °	-1.98	4.19	3.69	724131.1	5021900.3	1910.0	3.7		

	8a1	    -- -->  	  72.5 °	   9.3 °		3.01								   9.3 °	0.49	3.01	2.97	724133.4	5021904.8	1912.5	3.0		

	8a1	    -- -->  	 209.9 °	   3.0 °		8.82								   3.0 °	0.46	8.82	8.81	724126.3	5021896.2	1912.4	8.8		

	8a1	    -- -->  	 298.4 °	 -15.2 °		3.56								 -15.2 °	-0.93	3.56	3.44	724127.5	5021905.5	1911.0	3.4		

	8a1	    -- -->  	 165.0 °	  17.9 °		7.80								  17.9 °	2.40	7.80	7.43	724132.6	5021896.8	1914.4	7.4		

	8a2	    -- -->  	  77.9 °	  -1.3 °		1.32								  -1.3 °	-0.03	1.32	1.32	724132.4	5021900.6	1910.0	5.0		

	8a2	    -- -->  	 246.2 °	  -6.5 °		3.04								  -6.5 °	-0.34	3.04	3.02	724128.3	5021899.0	1909.7	6.7		

	8a2	    -- -->  	 199.7 °	  83.5 °		0.52								  83.5 °	0.52	0.52	0.06	724131.1	5021900.2	1910.5	3.7		

	8a2	    -- -->  	 178.7 °	 -78.4 °		6.63								 -78.4 °	-6.49	6.63	1.33	724131.1	5021898.9	1903.5	5.0		

	8a2	   8a3	 199.7 °	 -74.4 °		5.45				2.3	1.6	3.5	1.3	 -74.4 °	-5.25	5.45	1.46	724130.6	5021898.9	1904.7	5.2		

	8a3	    -- -->  	 129.6 °	   0.2 °		2.45								   0.2 °	0.01	2.45	2.45	724132.5	5021897.3	1904.8	7.6		

