Cavité :	Amalgame
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		Chaine P36																723773.3	5021873.8	1641.7			

Galerie :	Pulpite vers Lac
Date du lever : 	08/05/2012	Déclinaison = 	-1.03 °
Operateurs :	F. de Felix	Pascal
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	Chaine P36	>< 20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			
Date du lever : 	26/09/2010	Déclinaison = 	-0.81 °
Operateurs :	O.Testa	O Testa
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	20-81	   20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			

Date du lever : 	06/08/2011	Déclinaison = 	0.87 °
Operateurs :	E. Vitte	P. Orchampt
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	20-80	   20-81	 182.9 °	   5.1 °		4.44				1.1		3.0	1.4	  -5.1 °	-0.39	4.44	4.42	723773.4	5021878.2	1641.3	4.4		[1.17 112.2 1.2][2.99 129.2 83.0][1.44 202.0 -86.1][4.79 359.9 2.9]

	20-79	   20-80	 188.2 °	  55.4 °		4.97				1.5	2.3	8.2	1.6	 -55.4 °	-4.09	4.97	2.82	723773.8	5021881.0	1637.2	7.2		[4.27 111.5 -1.2][2.32 189.3 -0.2][5.23 264.0 7.7][1.50 10.5 0.3][8.28 13.5 80.8][1.65 199.6 -81.3]

	20-78	   20-79	  21.6 °	  36.5 °		2.06								 -36.5 °	-1.23	2.06	1.66	723773.2	5021879.5	1636.0	8.9		

	20-77	   20-78	 159.1 °	 -74.5 °		34.30				0.4		0.7	9.7	  74.5 °	33.06	34.30	9.15	723769.8	5021888.0	1669.0	18.1		[0.42 64.9 -10.6][0.77 131.2 -12.0][0.68 59.9 78.9][9.80 156.5 -80.2][34.32 161.1 -75.3][12.15 148.6 -71.7]

	20-76	   20-77	 161.3 °	 -20.1 °		2.76				0.5	1.0	6.8	0.9	  20.1 °	0.95	2.76	2.59	723768.9	5021890.4	1670.0	20.6		[0.55 93.7 -11.2][2.00 358.7 1.7][1.33 312.2 -0.9][0.92 214.4 -81.5][6.97 11.6 75.1][2.71 162.5 -18.7]

	20-75	   20-76	 194.0 °	 -63.9 °		5.12				1.7		1.8	5.3	  63.9 °	4.60	5.12	2.25	723769.4	5021892.6	1674.6	22.9		[1.70 153.4 -3.3][0.59 212.5 -3.8][0.39 111.9 -15.4][5.34 246.6 -81.0][1.79 88.1 77.2]

	20-74	   20-75	 274.1 °	   1.3 °		1.28					0.7	2.9	3.4	  -1.3 °	-0.03	1.28	1.28	723770.7	5021892.5	1674.6	24.2		[0.69 341.2 -4.0][2.92 265.9 82.8][3.70 335.1 -66.9]

	20-73	   20-74	 258.8 °	  -9.6 °		3.57				0.6		4.9	4.8	   9.6 °	0.59	3.57	3.52	723774.1	5021893.3	1675.2	27.7		[0.63 168.3 2.2][1.58 65.7 -6.0][3.50 82.2 -4.0][2.83 106.8 -2.4][5.18 236.6 72.6][5.32 324.9 -64.1]

	20-72	   20-73	 268.4 °	 -59.9 °		7.20				0.4	0.3	7.6	7.8	  59.9 °	6.23	7.20	3.61	723777.7	5021893.4	1681.4	31.3		[0.43 169.4 -11.1][0.33 332.2 -5.6][4.50 260.5 -6.8][1.05 104.9 -40.7][7.75 342.1 80.0][7.85 255.7 -80.9]

	20-71	   20-72	 250.1 °	 -35.8 °		2.51				0.2	0.6	0.4	1.3	  35.8 °	1.47	2.51	2.04	723779.6	5021894.2	1682.9	33.3		[0.65 339.3 -12.6][0.21 175.0 -12.6][1.36 307.8 -75.7][0.46 256.9 58.4]

	20-70	   20-71	 264.5 °	   7.0 °		5.08				0.7	6.4	40.5	3.3	  -7.1 °	-0.62	5.08	5.04	723784.6	5021894.8	1682.2	38.4		[3.90 31.6 -10.2][6.43 339.4 -5.0][4.17 296.0 0.0][3.92 253.2 5.9][0.72 162.3 10.0][4.08 352.3 -53.5][41.28 333.8 79.5]
2 Mathilde vers Amon

Galerie :	2 Mathilde vers Amon
Date du lever : 	07/09/2011	Déclinaison = 	0.88 °
