# CoordinateSystem: PROJCS["RGF93 v1 / Lambert-93",GEOGCS["RGF93 v1",DATUM["Reseau Geodesique Francais 1993 v1",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6171"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4171"]],PROJECTION["Lambert_Conformal_Conic_2SP",AUTHORITY["EPSG","9802"]],PARAMETER["latitude_of_origin",46.5],PARAMETER["central_meridian",3],PARAMETER["standard_parallel_1",49],PARAMETER["standard_parallel_2",44.00000000000001],PARAMETER["false_easting",700000],PARAMETER["false_northing",6600000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2154"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 1,924234.275712,6473090.891747,1794.658891,0.000000,0.000000,-0.000000,-0.000000,924234.275712,6473090.891747,1794.658891
point 2,924269.337571,6473038.859687,1821.176607,0.000000,0.000000,-0.000000,-0.000000,924269.337571,6473038.859687,1821.176607
point 3,924396.580225,6473076.941689,1820.655732,0.000000,0.000000,-0.000000,-0.000000,924396.580225,6473076.941689,1820.655732
point 4,924109.991434,6473237.331209,1740.176056,0.000000,0.000000,0.000000,-0.000000,924109.991434,6473237.331209,1740.176056
point 5,924118.279484,6473220.598178,1749.519325,0.000000,0.000000,-0.000000,-0.000000,924118.279484,6473220.598178,1749.519325
point 6,923859.655384,6473282.963866,1682.517867,0.000000,-0.000000,-0.000000,0.000000,923859.655384,6473282.963866,1682.517867
point 7,923858.033466,6473249.115938,1688.385583,0.000000,0.000000,-0.000000,-0.000000,923858.033466,6473249.115938,1688.385583
point 8,923961.058402,6472882.746962,1800.431259,0.000000,0.000000,-0.000000,-0.000000,923961.058402,6472882.746962,1800.431259
point 9,923592.881250,6472123.637683,1933.139352,0.000000,0.000000,-0.000000,0.000000,923592.881250,6472123.637683,1933.139352
point 10,923564.448746,6472141.449928,1936.711448,0.000000,0.000000,-0.000000,0.000000,923564.448746,6472141.449928,1936.711448
point 11,923613.043667,6472794.156435,1792.512623,0.000000,0.000000,-0.000000,-0.000000,923613.043667,6472794.156435,1792.512623
point 12,923421.195415,6472881.367641,1693.801120,0.000000,0.000000,-0.000000,0.000000,923421.195415,6472881.367641,1693.801120
point 13,923468.407270,6473088.795512,1648.859955,0.000000,0.000000,-0.000000,-0.000000,923468.407270,6473088.795512,1648.859955
point 14,923966.601199,6472035.049022,1831.941027,0.000000,0.000000,-0.000000,0.000000,923966.601199,6472035.049022,1831.941027
point 15,924187.854150,6472736.993769,1910.387991,0.000000,-0.000000,-0.000000,-0.000000,924187.854150,6472736.993769,1910.387991
point 16,923667.512438,6472055.948452,1958.608142,0.000000,0.000000,-0.000000,0.000000,923667.512438,6472055.948452,1958.608142
point 17,923879.215512,6472383.429855,1899.484311,0.000000,0.000000,-0.000000,0.000000,923879.215512,6472383.429855,1899.484311
point 18,923990.451439,6471919.013938,1763.825216,0.000000,0.000000,-0.000000,-0.000000,923990.451439,6471919.013938,1763.825216
point 19,924122.854950,6473486.577954,1583.222934,0.000000,-0.000000,-0.000000,0.000000,924122.854950,6473486.577954,1583.222934
